Num,Street,Ward,Year,count,name_label,Location,address,Addr,person_id,wkt
49,Woodlawn Ave,1,2025,1,1 Red Bud,Tree Belt,49 Woodlawn Ave,49 Woodlawn Ave,14,POINT (105463.1 897981.5)
50,Hubbard Ave,3,2025,1,1 Bur Oak,RoW,50 Hubbard Ave,50 Hubbard Ave,13,POINT (107325.5 898627.4)
50,Musante Dr,2,2023,3,3 Kentucky Coffeetree Espresso,Tree Belt,50 Musante Dr,50 Musante Dr,15,POINT (105238.5 896419.8)
50,Revell Ave,4,2024,1,1 Hackberry,Tree Belt,50 Revell Ave,50 Revell Ave,10,POINT (106245.6 895957.1)
51,Prince St,2,2024,5,2 Kentucky Coffee Tree<br>1 Hackberry<br>1 Shag Bark Hickory<br>1 Yellowwood,RoW,51 Prince St,51 Prince St,10,POINT (105627.5 896270.2)
51,Stoddard St,1,2024,1,1 American Hop Hornbeam,Setback,51 Stoddard St,51 Stoddard St,1,POINT (106376.1 898134.2)
52,Revell Ave,4,2024,2,1 Hackberry<br>1 Redbud,Tree Belt,52 Revell Ave,52 Revell Ave,10,POINT (106260.5 895949.8)
52,Sovereign Way,6,2024,1,"1 Sweetgum ""Moraine""",NA,52 Sovereign Way,52 Sovereign Way,2,POINT (101444.4 895497.4)
53,Acrebrook Dr,6,2024,5,3 Hardy Rubber Tree<br>2 Blackgum Wildfire,Setback,53 Acrebrook Dr,53 Acrebrook Dr,3,POINT (101987.4 897191.8)
57,Sovereign Way,6,2025,1,1 Sweetgum 'Moraine',RoW,57 Sovereign Way,57 Sovereign Way,2,POINT (101524.8 895560.6)
59,Fort St,4,2025,2,"2 Ginkgo ""Princeton Sentry""",Setback,59 Fort St,59 Fort St,10,POINT (106512.2 895959.5)
59,Pomeroy Terr,3,2023,3,3 Amur Maackia,Tree Belt,59 Pomeroy Terr,59 Pomeroy Terr,5,POINT (107351.2 897284.9)
60,Maynard Rd,2,2024,1,1 Serviceberry,Tree Belt,60 Maynard Rd,60 Maynard Rd,7,POINT (105365.2 897425.5)
68,North Main St,7,2024,1,1 Exclamation Londonplane,Setback,68 North Main St,68 North Main St,11,POINT (103199.7 899152.3)
70,Meadow St,7,2023,2,2 Redbud,Setback,70 Meadow St,70 Meadow St,11,POINT (103015.1 898849.8)
72,Pomeroy Terr,3,2024,2,2 Kentucky Coffee Tree,Tree Belt,72 Pomeroy Terr,72 Pomeroy Terr,5,POINT (107431 897248.4)
74,Sovereign Way,6,2024,6,6 Dawn Redwood,RoW,74 Sovereign Way,74 Sovereign Way,2,POINT (101426.2 895610.7)
75,Harrison Ave,2,2024,1,1 Red Maple,Tree Belt,75 Harrison Ave,75 Harrison Ave,7,POINT (105472 897318.2)
75,Harrison Ave,2,2025,2,2 Red Maple,Tree Belt,75 Harrison Ave,75 Harrison Ave,7,POINT (105465.4 897318.3)
76,Pine St,5,2025,1,1 Serviceberry 'Autumn Brilliance',Setback,76 Pine St,76 Pine St,11,POINT (103561.3 898610.7)
77,Warner St,5,2023,1,"1 Gingko ""Autumn Gold""",Tree Belt,77 Warner St,77 Warner St,8,POINT (104249.3 897773.7)
