"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00190120","AMHERST, MA US","2012-12-05","56",",,7","33",",,7"
"USC00190120","AMHERST, MA US","2012-12-06","51",",,7","27",",,7"
"USC00190120","AMHERST, MA US","2012-12-07","41",",,7","20",",,7"
"USC00190120","AMHERST, MA US","2012-12-08","39",",,7","23",",,7"
"USC00190120","AMHERST, MA US","2012-12-09","42",",,7","31",",,7"
"USC00190120","AMHERST, MA US","2012-12-10","45",",,7","31",",,7"
"USC00190120","AMHERST, MA US","2012-12-11","46",",,7","38",",,7"
"USC00190120","AMHERST, MA US","2012-12-12","43",",,7","22",",,7"
"USC00190120","AMHERST, MA US","2012-12-13","38",",,7","18",",,7"
"USC00190120","AMHERST, MA US","2012-12-14","44",",,7","19",",,7"
"USC00190120","AMHERST, MA US","2012-12-15","47",",,7","18",",,7"
"USC00190120","AMHERST, MA US","2012-12-16","44",",,7","23",",,7"
"USC00190120","AMHERST, MA US","2012-12-17","32",",,7","30",",,7"
"USC00190120","AMHERST, MA US","2012-12-18","38",",,7","30",",,7"
"USC00190120","AMHERST, MA US","2012-12-19","42",",,7","37",",,7"
"USC00190120","AMHERST, MA US","2012-12-20","44",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-12-21","43",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-12-22","56",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-12-23","35",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-12-24","38",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-12-25","38",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-12-26","34",",,7","19",",,7"
"USC00190120","AMHERST, MA US","2012-12-27","34",",,7","19",",,7"
"USC00190120","AMHERST, MA US","2012-12-28","36",",,7","20",",,7"
"USC00190120","AMHERST, MA US","2012-12-29","34",",,7","16",",,7"
"USC00190120","AMHERST, MA US","2012-12-30","28",",,7","20",",,7"
"USC00190120","AMHERST, MA US","2012-12-31","28",",,7","12",",,7"
"USC00190120","AMHERST, MA US","2013-01-01","37",",,7","22",",,7"
"USC00190120","AMHERST, MA US","2013-01-02","36",",,7","3",",,7"
"USC00190120","AMHERST, MA US","2013-01-03","28",",,7","-3",",,7"
"USC00190120","AMHERST, MA US","2013-01-04","23",",,7","0",",,7"
"USC00190120","AMHERST, MA US","2013-01-05","38",",,7","16",",,7"
