FID,UNIQUEID,SPP_COM,SPP_BOT,DBH,LOCATION,ADDRESS,STREET,ONSTR,X,Y,LATITUDE,LONGITUDE
614,ZXR20161014155932,Vacant site medium,Vacant site medium,0.000000000000000,Street,108.000000000000000,SOUTH ST,SOUTH ST,106581.336553000000000,896466.349088000020000,42.313097161999998,-72.633196448099994
615,CXK20161024112122,Vacant site small,Vacant site small,0.000000000000000,Street,46.000000000000000,BURNCOLT RD,BURNCOLT RD,103353.345918000010000,900296.114031999950000,42.347179921900000,-72.672986915899997
616,CXK20161024123055,Vacant site small,Vacant site small,0.000000000000000,Street,144.000000000000000,BRIDGE RD,SPRING GROVE AVE,103178.988763999990000,900006.684434000050000,42.344552884000002,-72.675054407199994
617,ZXR20161014155522,Vacant site small,Vacant site small,0.000000000000000,Street,108.000000000000000,SOUTH ST,LYMAN RD,106661.066016000000000,896386.089931000020000,42.312384194400003,-72.632216497000002
618,ZXR20161014081936,Vacant site large,Vacant site large,0.000000000000000,Street,114.000000000000000,HAWLEY ST,HAWLEY ST,107296.501326000000000,896972.952361000000000,42.317742857799999,-72.624603312299996
619,ZXR20161014121109,Vacant site small,Vacant site small,0.000000000000000,Street,118.000000000000000,CONZ ST,FULTON AVE,107258.000572000000000,896373.131598999960000,42.312338648100003,-72.624974352899997
620,CXK20161012130726,Vacant site small,Vacant site small,0.000000000000000,Street,165.000000000000000,CHESTNUT ST,CHESTNUT ST,103881.714676000000000,899460.889256000050000,42.339726485100002,-72.666436363399995
621,ZXR20161014143018,Vacant site small,Vacant site small,0.000000000000000,Street,19.000000000000000,LYMAN RD,LYMAN RD,106676.355939000000000,896367.201083999940000,42.312215982399998,-72.632028008800006
622,ZXR20161014160246,Vacant site small,Vacant site small,0.000000000000000,Street,104.000000000000000,SOUTH ST,SOUTH ST,106586.121053000000000,896546.226861999950000,42.313816800200001,-72.633151288999997
623,ZXR20161014103802,Vacant site small,Vacant site small,0.000000000000000,Street,10.000000000000000,WILSON AVE,WILSON AVE,106845.608754999990000,896741.148429000050000,42.315602491299998,-72.630035282099996
624,ZXR20161013104233,Vacant site small,Vacant site small,0.000000000000000,Street,85.000000000000000,HAWLEY ST,HAWLEY ST,107259.724953000000000,897086.977092999960000,42.318764951500000,-72.625067645900003
625,ZXR20161013105035,Vacant site small,Vacant site small,0.000000000000000,Street,111.000000000000000,HAWLEY ST,HAWLEY ST,107283.650020999990000,897006.468222000050000,42.318043044800000,-72.624764557000006
626,ZXR20161013115813,Vacant site small,Vacant site small,0.000000000000000,Street,50.000000000000000,PHILLIPS PL,PHILLIPS PL,107304.356987000010000,897350.918299000010000,42.321146269499998,-72.624568473699995
627,ZXR20161014093923,Vacant site small,Vacant site small,0.000000000000000,Street,40.000000000000000,VALLEY ST,MONTVIEW AVE,107534.558024000000000,896701.961836999980000,42.315331597200000,-72.621672507400007
628,ZXR20161014101019,Vacant site large,Vacant site large,0.000000000000000,Street,49.000000000000000,HENRY ST,HENRY ST,107674.820444000000000,896720.616791000010000,42.315516123599998,-72.619974189999994
629,ZXR20161014095457,Vacant site small,Vacant site small,0.000000000000000,Street,45.000000000000000,HENRY ST,HENRY ST,107638.567849000000000,896661.131965999960000,42.314976349500000,-72.620404432800001
630,JXS20161025153010,Vacant site large,Vacant site large,0.000000000000000,Street,135.000000000000000,PROSPECT AVE,PROSPECT AVE,105338.539496000000000,898951.884824999960000,42.335322414399997,-72.648676147200007
631,ZXR20161014114725,Vacant site medium,Vacant site medium,0.000000000000000,Street,395.000000000000000,PLEASANT ST,PLEASANT ST,107233.402189000000000,896677.976453999990000,42.315079967599999,-72.625321483199997
632,ZXR20161014120841,Vacant site small,Vacant site small,0.000000000000000,Street,118.000000000000000,CONZ ST,FULTON AVE,107282.662612999990000,896388.738243000000000,42.312482068500003,-72.624677729300004
633,ZXR20161014114742,Vacant site small,Vacant site small,0.000000000000000,Street,395.000000000000000,PLEASANT ST,PLEASANT ST,107235.716350000000000,896669.951020000040000,42.315007996799999,-72.625292129800002
634,ZXR20161013114849,Vacant site medium,Vacant site medium,0.000000000000000,Street,87.000000000000000,BRIDGE ST,BRIDGE ST,107233.341728000000000,897513.373575999980000,42.322600271699997,-72.625455923100006
635,ZXR20161013102623,Vacant site small,Vacant site small,0.000000000000000,Street,5.000000000000000,BRIDGE ST,HAWLEY ST,107019.105941000000000,897301.429504000000000,42.320666858499997,-72.628020750600001
636,ZXR20161013103538,Vacant site small,Vacant site small,0.000000000000000,Street,67.000000000000000,HAWLEY ST,HAWLEY ST,107229.185826999990000,897135.407434000050000,42.319197298299997,-72.625445836400004
637,ZXR20161010150729,Vacant site small,Vacant site small,0.000000000000000,Street,206.000000000000000,PROSPECT ST,PROSPECT ST,106105.441842999990000,898079.698049000000000,42.327563558199998,-72.639229879799998
638,ZXR20161014113228,Vacant site small,Vacant site small,0.000000000000000,Street,18.000000000000000,MICHELMAN AVE,MICHELMAN AVE,107120.518121000000000,896791.140638999990000,42.316085265399998,-72.626708816299995
