FID,UNIQUEID,SPP_COM,SPP_BOT,DBH,LOCATION,ADDRESS,STREET,ONSTR,X,Y,LATITUDE,LONGITUDE
54,CXK20161024123948,Stump,Stump,22.000000000000000,Street,128.000000000000000,BRIDGE RD,SPRING GROVE AVE,103166.952833000000000,900027.769976999960000,42.344741202400002,-72.675203986699998
55,CXK20161109133709,Stump,Stump,22.000000000000000,Street,35.000000000000000,GLENDALE RD,GLENDALE RD,99660.840289400003000,894803.871571999970000,42.297273213600000,-72.716845470199999
56,JXS20161024151755,Stump,Stump,12.000000000000000,Street,375.000000000000000,KING ST,KING ST,106301.266408000000000,899162.505878000050000,42.337334555900000,-72.637029328599994
57,CXK20161026100647,Stump,Stump,18.000000000000000,Street,70.000000000000000,OVERLOOK DR,OVERLOOK DR,101805.050515000000000,896713.381984999990000,42.314735088100001,-72.691168728099996
58,CXK20161109114724,Stump,Stump,24.000000000000000,Street,193.000000000000000,GLENDALE RD,GLENDALE RD,99679.482909300001000,894190.619591000020000,42.291755117900003,-72.716513353099998
59,JXS20161026084449,Stump,Stump,18.000000000000000,Borderline,42.000000000000000,JACKSON ST,PROSPECT HEIGHTS,105583.269192000010000,898470.568845000000000,42.331019228599999,-72.645628374099999
60,CXK20161111123829,Stump,Stump,19.000000000000000,Borderline,41.000000000000000,NORTH LOUDVILLE RD,NORTH LOUDVILLE RD,98087.987173500005000,894546.150037999960000,42.294749626200002,-72.735872037600004
61,CXK20161111123759,Stump,Stump,23.000000000000000,Borderline,41.000000000000000,NORTH LOUDVILLE RD,NORTH LOUDVILLE RD,98080.882243100001000,894553.648399999950000,42.294816199400003,-72.735959503600000
62,JXS20161024145839,Stump,Stump,21.000000000000000,Street,306.000000000000000,KING ST,KING ST,106452.457721000000000,898623.526064999980000,42.332500770300001,-72.635107811699996
63,JXS20161024090416,Stump,Stump,18.000000000000000,Street,366.000000000000000,KING ST,KING ST,106319.407353000000000,899034.781787000010000,42.336186956699997,-72.636788559699994
64,CXK20161024113845,Stump,Stump,22.000000000000000,Borderline,48.000000000000000,STERLING RD,BURNCOLT RD,103354.262910000000000,900279.241409000010000,42.347028148800000,-72.672972971899995
65,CXK20161111081032,Stump,Stump,11.000000000000000,Street,163.000000000000000,SPRING ST,SPRING ST,102321.700736000000000,898896.140527999960000,42.334449026900003,-72.685270150500003
66,CXK20161024124026,Stump,Stump,21.000000000000000,Street,128.000000000000000,BRIDGE RD,SPRING GROVE AVE,103166.877068000000000,900029.852581999960000,42.344759940499998,-72.675205254299996
67,JXS20161104114743,Stump,Stump,20.000000000000000,Street,48.000000000000000,EVERGREEN RD,EVERGREEN RD,101410.648180000000000,901365.004755000000000,42.356559056000002,-72.696744108399997
68,CXK20161115080334,Stump,Stump,26.000000000000000,Street,404.000000000000000,SYLVESTER RD,SYLVESTER RD,99608.343038000006000,897699.690219999990000,42.323334517699998,-72.717983475500006
69,CXK20161024124113,Stump,Stump,24.000000000000000,Street,128.000000000000000,BRIDGE RD,SPRING GROVE AVE,103167.108891000000000,900031.514635000030000,42.344774931000003,-72.675202719100000
70,CXK20161111123733,Stump,Stump,19.000000000000000,Street,41.000000000000000,NORTH LOUDVILLE RD,NORTH LOUDVILLE RD,98076.437567800007000,894557.150109000040000,42.294847141900000,-72.736014011300000
71,CXK20161011145313,Stump,Stump,48.000000000000000,Street,168.000000000000000,SOUTH MAIN ST,PINE ST,103898.786745000000000,898851.219342999980000,42.334240346199998,-72.666128068399999
72,ZXR20161018141250,Stump,Stump,47.000000000000000,Street,16.000000000000000,WINTHROP ST,WINTHROP ST,106100.425564000000000,895945.888916000030000,42.308354273299997,-72.638945055099995
73,CXK20161110131839,Stump,Stump,28.000000000000000,Street,45.000000000000000,LOUDVILLE RD,LOUDVILLE RD,98179.575648400001000,894245.800035999970000,42.292057826899999,-72.734708792199996
74,CXK20161110095544,Stump,Stump,33.000000000000000,Street,1024.000000000000000,WESTHAMPTON RD,WESTHAMPTON RD,99544.161928400004000,894824.995979000000000,42.297448381199999,-72.718263932900001
75,CXK20161107153148,Stump,Stump,14.000000000000000,Street,129.000000000000000,GREENLEAF DR,LONGFELLOW DR,102267.414644000000000,894872.183712000030000,42.298218582899999,-72.685250333599996
76,JXS20161111102652,Stump,Stump,9.000000000000000,Street,94.000000000000000,CHESTERFIELD RD,CHESTERFIELD RD,101459.257824000000000,899697.696791999970000,42.341556222500003,-72.695870393299998
77,CXK20161114101236,Stump,Stump,26.000000000000000,Street,59.000000000000000,SYLVESTER RD,SYLVESTER RD,99751.724293599997000,896343.503189999960000,42.311144607300001,-72.716009610800000
78,CXK20161114092820,Stump,Stump,30.000000000000000,Street,6.000000000000000,SYLVESTER RD,TURKEY HILL RD,99701.299476400003000,896215.616129999980000,42.309986899400002,-72.716599055299994
79,CXK20161024100958,Stump,Stump,21.000000000000000,Street,79.000000000000000,COUNTRY WAY,COUNTRY WAY,103067.987301000000000,900842.665759000000000,42.352064571299998,-72.676541327999999
80,CXK20161024113921,Stump,Stump,14.000000000000000,Borderline,48.000000000000000,STERLING RD,BURNCOLT RD,103351.337224000000000,900279.177570999950000,42.347027211899999,-72.673008465400002
81,CXK20161025145528,Stump,Stump,23.000000000000000,Street,227.000000000000000,ACREBROOK DR,ACREBROOK DR,101863.298683999990000,896838.007217000010000,42.315864284500002,-72.690483330399999
82,JXS20161028140957,Stump,Stump,8.000000000000000,Street,125.000000000000000,PLEASANT ST,RAILRD AVE,107119.028810000000000,897022.333421000050000,42.318166304400002,-72.626763927100001
83,JXS20161028141122,Stump,Stump,7.000000000000000,Street,125.000000000000000,PLEASANT ST,RAILRD AVE,107128.692091000000000,897006.997632000010000,42.318029399600000,-72.626644255700000
84,CXK20161025141814,Stump,Stump,12.000000000000000,Street,113.000000000000000,BRIERWOOD DR,BRIERWOOD DR,102018.705738000000000,896902.362577999940000,42.316463122400002,-72.688609230500006
85,JXS20161103150654,Stump,Stump,7.000000000000000,Street,46.000000000000000,EVERGREEN RD,EVERGREEN RD,101508.420292000000000,901379.038443999950000,42.356697729300002,-72.695559827500006
86,CXK20161025110249,Stump,Stump,31.000000000000000,Street,298.000000000000000,RYAN RD,RYAN RD,102039.110944000000000,897581.466864999970000,42.322578970599999,-72.688476507399997
87,CXK20161116093544,Stump,Stump,12.000000000000000,Street,63.000000000000000,FLORENCE RD,FLORENCE RD,102944.017029000000000,898189.607435000010000,42.328166432600000,-72.677601304899994
88,CXK20161024151307,Stump,Stump,19.000000000000000,Street,331.000000000000000,NORTH FARMS RD,NORTH FARMS RD,103518.587387000010000,901699.958819000050000,42.359837697899998,-72.671215596500005
89,CXK20161025141843,Stump,Stump,27.000000000000000,Street,113.000000000000000,BRIERWOOD DR,BRIERWOOD DR,102017.918191000000000,896899.282358000050000,42.316435295500000,-72.688618262299997
90,CXK20161013113210,Stump,Stump,22.000000000000000,Street,575.000000000000000,BRIDGE RD,BRIDGE RD,104673.802356000000000,899375.346314999970000,42.339053540999998,-72.656811147200003
